Group,Source,OG_Author,Paragraph
Non-Fiction,Video Instance Segmentation,"Linjie Yang, Yuchen Fan, Ning Xu","In this paper we present a new computer vision task, named video instance segmentation. The goal of this new task is simultaneous detection, segmentation and tracking of instances in videos. In words, it is the first time that the image instance segmentation problem is extended to the video domain. To facilitate research on this new task, we propose a large-scale benchmark called YouTube-VIS, which consists of 2,883 high-resolution YouTube videos, a 40-category label set and 131k high-quality instance masks. In addition, we propose a novel algorithm called MaskTrack R-CNN for this task. Our new method introduces a new tracking branch to Mask R-CNN to jointly perform the detection, segmentation and tracking tasks simultaneously. Finally, we evaluate the proposed method and several strong baselines on our new dataset. Experimental results clearly demonstrate the advantages of the proposed algorithm and reveal insight for future improvement. We believe the video instance segmentation task will motivate the community along the line of research for video understanding."
Non-Fiction,The soundscape of the Anthropocene ocean,"Carlos M. Duarte, et. al","Sound travels faster and farther in water than in air. Over evolutionary time, many marine organisms have come to rely on sound production, transmission, and reception for key aspects of their lives. These important behaviors are threatened by an increasing cacophony in the marine environment as human-produced sounds have become louder and more prevalent. Duarte et al. review the importance of biologically produced sounds and the ways in which anthropogenically produced sounds are affecting the marine soundscape."
Non-Fiction,A space hurricane over the Earth’s polar ionosphere,"Qing-He Zhang, Yong-Liang Zhang, Chi Wang, Kjellmar Oksavik, Larry R. Lyons, Michael Lockwood, Hui-Gen Yang, Bin-Bin Tang, Jøran Idar Moen, Zan-Yang Xing, Yu-Zhang Ma, Xiang-Yu Wang, Ya-Fei Ning & Li-Dong Xia ","In Earth’s low atmosphere, hurricanes are destructive due to their great size, strong spiral winds with shears, and intense rain/precipitation. However, disturbances resembling hurricanes have not been detected in Earth’s upper atmosphere. Here, we report a long-lasting space hurricane in the polar ionosphere and magnetosphere during low solar and otherwise low geomagnetic activity. This hurricane shows strong circular horizontal plasma flow with shears, a nearly zero-flow center, and a coincident cyclone-shaped aurora caused by strong electron precipitation associated with intense upward magnetic field-aligned currents. Near the center, precipitating electrons were substantially accelerated to ~10 keV. The hurricane imparted large energy and momentum deposition into the ionosphere despite otherwise extremely quiet conditions. The observations and simulations reveal that the space hurricane is generated by steady high-latitude lobe magnetic reconnection and current continuity during a several hour period of northward interplanetary magnetic field and very low solar wind density and speed."
Non-Fiction,Anthropogenic climate change is worsening North American pollen seasons,"William R. L. Anderegg https://orcid.org/0000-0001-6551-3331 Anderegg@utah.edu, John T. Abatzoglou https://orcid.org/0000-0001-7599-9750, Leander D. L. Anderegg https://orcid.org/0000-0002-5144-7254, +2, and Lewis Ziska ","Airborne pollen has major respiratory health impacts and anthropogenic climate change may increase pollen concentrations and extend pollen seasons. While greenhouse and field studies indicate that pollen concentrations are correlated with temperature, a formal detection and attribution of the role of anthropogenic climate change in continental pollen seasons is urgently needed. Here, we use long-term pollen data from 60 North American stations from 1990 to 2018, spanning 821 site-years of data, and Earth system model simulations to quantify the role of human-caused climate change in continental patterns in pollen concentrations. We find widespread advances and lengthening of pollen seasons (+20 d) and increases in pollen concentrations (+21%) across North America, which are strongly coupled to observed warming. Human forcing of the climate system contributed ∼50% (interquartile range: 19–84%) of the trend in pollen seasons and ∼8% (4–14%) of the trend in pollen concentrations. Our results reveal that anthropogenic climate change has already exacerbated pollen seasons in the past three decades with attendant deleterious effects on respiratory health."
Non-Fiction,Million-year-old DNA sheds light on the genomic history of mammoths,"Tom van der Valk, Patrícia Pečnerová, David Díez-del-Molino, Anders Bergström, Jonas Oppenheimer, Stefanie Hartmann, Georgios Xenikoudakis, Jessica A. Thomas, Marianne Dehasque, Ekin Sağlıcan, Fatma Rabia Fidan, Ian Barnes, Shanlin Liu, Mehmet Somel, Peter D. Heintzman, Pavel Nikolskiy, Beth Shapiro, Pontus Skoglund, Michael Hofreiter, Adrian M. Lister, Anders Götherström & Love Dalén","Temporal genomic data hold great potential for studying evolutionary processes such as speciation. However, sampling across speciation events would, in many cases, require genomic time series that stretch well back into the Early Pleistocene subepoch. Although theoretical models suggest that DNA should survive on this timescale1, the oldest genomic data recovered so far are from a horse specimen dated to 780–560 thousand years ago2. Here we report the recovery of genome-wide data from three mammoth specimens dating to the Early and Middle Pleistocene subepochs, two of which are more than one million years old. We find that two distinct mammoth lineages were present in eastern Siberia during the Early Pleistocene. One of these lineages gave rise to the woolly mammoth and the other represents a previously unrecognized lineage that was ancestral to the first mammoths to colonize North America. Our analyses reveal that the Columbian mammoth of North America traces its ancestry to a Middle Pleistocene hybridization between these two lineages, with roughly equal admixture proportions. Finally, we show that the majority of protein-coding changes associated with cold adaptation in woolly mammoths were already present one million years ago. These findings highlight the potential of deep-time palaeogenomics to expand our understanding of speciation and long-term adaptive evolution."
Speaches,I Have a Dream,"Martin Luther King, Jr.",We have also come to this hallowed spot to remind America of the fierce urgency of Now. This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism. Now is the time to make real the promises of democracy. Now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice. Now is the time to lift our nation from the quicksands of racial injustice to the solid rock of brotherhood. Now is the time to make justice a reality for all of God's children.
Speaches,Presidential Inaugural Address,John F. Kennedy,"To those new states whom we welcome to the ranks of the free, we pledge our word that one form of colonial control shall not have passed away merely to be replaced by a far more iron tyranny. We shall not always expect to find them supporting our view. But we shall always hope to find them strongly supporting their own freedom -- and to remember that, in the past, those who foolishly sought power by riding the back of the tiger ended up inside."
Speaches,First Inaugural Address,Franklin Delano Roosevelt,"Recognition of that falsity of material wealth as the standard of success goes hand in hand with the abandonment of the false belief that public office and high political position are to be valued only by the standards of pride of place and personal profit; and there must be an end to a conduct in banking and in business which too often has given to a sacred trust the likeness of callous and selfish wrongdoing. Small wonder that confidence languishes, for it thrives only on honesty, on honor, on the sacredness of obligations, on faithful protection, and on unselfish performance; without them it cannot live."
Speaches,Pearl Harbor Address to the Nation,Franklin Delano Roosevelt,"I believe that I interpret the will of the Congress and of the people when I assert that we will not only defend ourselves to the uttermost, but will make it very certain that this form of treachery shall never again endanger us."
Speaches,1976 Democratic National Convention Keynote Address,Barbara Charline Jordan,"We are a people in a quandary about the present. We are a people in search of our future. We are a people in search of a national community. We are a people trying not only to solve the problems of the present, unemployment, inflation, but we are attempting on a larger scale to fulfill the promise of America. We are attempting to fulfill our national purpose, to create and sustain a society in which all of us are equal."
Speaches,Checkers,Richard M. Nixon,"Do you think that when I or any other Senator makes a political speech, has it printed, should charge the printing of that speech and the mailing of that speech to the taxpayers? Do you think, for example, when I or any other Senator makes a trip to his home State to make a purely political speech that the cost of that trip should be charged to the taxpayers? Do you think when a Senator makes political broadcasts or political television broadcasts, radio or television, that the expense of those broadcasts should be charged to the taxpayers? Well I know what your answer is. It's the same answer that audiences give me whenever I discuss this particular problem: The answer is no. The taxpayers shouldn't be required to finance items which are not official business but which are primarily political business."
Speaches,The Ballot or the Bullet,Malcolm X,"He was born Malcolm Little in 1925 in Omaha, Nebraska. His father, Earl, was a Baptist preacher and follower of the black nationalist Marcus Garvey. Earl Little's political activism provoked threats from the Ku Klux Klan. After the family moved to Lansing, Michigan, white terrorists burned the Littles' home. A defiant Earl Little shot at the arsonists as they got away. In 1931, Malcolm's father was found dead. His family suspected he'd been murdered by white vigilantes. Malcolm's mother, Louise, battled mental illness and struggled to care for her eight children during the Great Depression. She was committed to a state mental institution when Malcolm was 12. He and the other young children were scattered among foster families. After completing the eighth grade, Malcolm Little dropped out when a teacher told him that his dream of becoming a lawyer was unrealistic for a ""nigger."""
Speaches,"The Space Shuttle ""Challenger"" Tragedy Address",Ronald Reagan,"There's a coincidence today. On this day three hundred and ninety years ago, the great explorer Sir Francis Drake died aboard ship off the coast of Panama. In his lifetime the great frontiers were the oceans, and a historian later said, ""He lived by the sea, died on it, and was buried in it."" Well, today, we can say of the Challenger crew: Their dedication was, like Drake's, complete."
Speaches,Address to the Greater Houston Ministerial Association,John F. Kennedy,"I would not look with favor upon a President working to subvert the first amendment's guarantees of religious liberty; nor would our system of checks and balances permit him to do so. And neither do I look with favor upon those who would work to subvert Article VI of the Constitution by requiring a religious test, even by indirection. For if they disagree with that safeguard, they should be openly working to repeal it."
Speaches,Lyndon Baines Johnson,Address to a Joint Session of Congress on Voting Legislation,"Those words are a promise to every citizen that he shall share in the dignity of man. This dignity cannot be found in a man's possessions; it cannot be found in his power, or in his position. It really rests on his right to be treated as a man equal in opportunity to all others. It says that he shall share in freedom, he shall choose his leaders, educate his children, provide for his family according to his ability and his merits as a human being. To apply any other test -- to deny a man his hopes because of his color, or race, or his religion, or the place of his birth is not only to do injustice, it is to deny America and to dishonor the dead who gave their lives for American freedom."
Speaches,1984 Democratic National Convention Keynote Address,Mario Matthew Cuomo,"Maybe, maybe, Mr. President, if you visited some more places; maybe if you went to Appalachia where some people still live in sheds; maybe if you went to Lackawanna where thousands of unemployed steel workers wonder why we subsidized foreign steel. Maybe -- Maybe, Mr. President, if you stopped in at a shelter in Chicago and spoke to the homeless there; maybe, Mr. President, if you asked a woman who had been denied the help she needed to feed her children because you said you needed the money for a tax break for a millionaire or for a missile we couldn't afford to use."
Speaches,1984 Democratic National Convention Address,Jesse Jackson,"Our party is emerging from one of its most hard fought battles for the Democratic Party's presidential nomination in our history. But our healthy competition should make us better, not bitter. We must use the insight, wisdom, and experience of the late Hubert Humphrey as a balm for the wounds in our Party, this nation, and the world. We must forgive each other, redeem each other, regroup, and move one. Our flag is red, white and blue, but our nation is a rainbow -- red, yellow, brown, black and white -- and we're all precious in God's sight."
Speaches,Statement on the Articles of Impeachment,Barbara Charline Jordan,"Earlier today, we heard the beginning of the Preamble to the Constitution of the United States: ""We, the people."" It's a very eloquent beginning. But when that document was completed on the seventeenth of September in 1787, I was not included in that ""We, the people."" I felt somehow for many years that George Washington and Alexander Hamilton just left me out by mistake. But through the process of amendment, interpretation, and court decision, I have finally been included in ""We, the people."""
Speaches,Farewell Address to Congress,General Douglas MacArthur,"I stand on this rostrum with a sense of deep humility and great pride -- humility in the wake of those great American architects of our history who have stood here before me; pride in the reflection that this forum of legislative debate represents human liberty in the purest form yet devised. Here are centered the hopes and aspirations and faith of the entire human race. I do not stand here as advocate for any partisan cause, for the issues are fundamental and reach quite beyond the realm of partisan consideration. They must be resolved on the highest plane of national interest if our course is to prove sound and our future protected. I trust, therefore, that you will do me the justice of receiving that which I have to say as solely expressing the considered viewpoint of a fellow American."
Speaches,I've Been to the Mountaintop,"Martin Luther King, Jr.","Now that's a strange statement to make, because the world is all messed up. The nation is sick. Trouble is in the land; confusion all around. That's a strange statement. But I know, somehow, that only when it is dark enough can you see the stars. And I see God working in this period of the twentieth century in a way that men, in some strange way, are responding."
Speaches,The Man with the Muck-rake,Theodore Roosevelt,"As an instance in point, I may mention that one serious difficulty encountered in getting the right type of men to dig the Panama canal is the certainty that they will be exposed, both without, and, I am sorry to say, sometimes within, Congress, to utterly reckless assaults on their character and capacity."
Speaches,"Remarks on the Assassination of Martin Luther King, Jr.",Robert F. Kennedy,"We can do well in this country. We will have difficult times. We've had difficult times in the past, but we -- and we will have difficult times in the future. It is not the end of violence; it is not the end of lawlessness; and it's not the end of disorder."
Speaches,Farewell Address,Dwight D. Eisenhower,"A vital element in keeping the peace is our military establishment. Our arms must be mighty, ready for instant action, so that no potential aggressor may be tempted to risk his own destruction. Our military organization today bears little relation to that known of any of my predecessors in peacetime, or, indeed, by the fighting men of World War II or Korea."
Speaches,War Message to Congress,Woodrow Wilson,"Each nation must decide for itself how it will meet it. The choice we make for ourselves must be made with a moderation of counsel and temperateness of judgment befitting our character and our motives as a nation. We must put excited feeling away. Our motive will not be revenge or the victorious assertion of the physical might of the nation, but only the vindication of right, of human right, of which we are only a single champion."
Speaches,Sylvanus Thayer Award Acceptance Address,General Douglas MacArthur,"As I listened to those songs [from the glee club], in memory's eye I could see those staggering columns of the First World War, bending under soggy packs, on many a weary march from dripping dusk to drizzling dawn, slogging ankle-deep through the mire of shell-shocked roads, to form grimly for the attack, blue-lipped, covered with sludge and mud, chilled by the wind and rain, driving home to their objective, and for many, to the judgment seat of  God."
Movie Dialogue,I will kill you,Taken,"I don't know who you are. I don't know what you want. If you are looking for ransom, I can tell you I don't have money. But what I do have are a very particular set of skills; skills I have acquired over a very long career. Skills that make me a nightmare for people like you. If you let my daughter go now, that'll be the end of it. I will not look for you, I will not pursue you. But if you don't, I will look for you, I will find you, and I will kill you."
Movie Dialogue,Don't kill it,Call Me By Your Name,"And I'll say one more thing… it'll clear the air. I may have come close, but I never have what you two have. Something always held me back or stood in the way. How you live your life is your business. Just remember, our hearts and our bodies are given to us only once, and before you know it, your heart's worn out. And as for your body, there comes a point when no one looks at it, much less wants to come near it. Right now, there's sorrow, pain; don't kill it, and with it, the joy you've felt."
Movie Dialogue,The Lord of the Rings: The Two Towers,There's some good in this world.,"But in the end, it's only a passing thing, this shadow. Even darkness must pass. A new day will come. And when the sun shines it will shine out the clearer. Those were the stories that stayed with you. That meant something. Even if you were too small to understand why. But I think, Mr. Frodo, I do understand. I know now. Folk in those stories had lots of chances of turning back only they didn't. Because they were holding on to something."
Movie Dialogue,Break up,Whiplash ,"And really, I'm gonna start to resent you for even asking me to stop drumming. And we're just gonna start to hate each other. And it's gonna get very... It's gonna be ugly. And so for those reasons, I'd rather just, you know, break it off clean... because I wanna be great."
Movie Dialogue,Lasso the moon,It's A Wonderful Life,"I can't learn anything from you that I can't read in some fuckin' book. Unless you want to talk about you. Who you are. And I'm fascinated. I'm in. But you don't want to do that, do you, sport? You're terrified of what you might say."
Movie Dialogue,Hidden Figures,There is no bathroom for me,"Well, I don't own pearls. Lord knows you don't pay the colored enough to afford pearls! And I work like a dog day and night, living on coffee from a pot none of you want to touch! So, excuse me if I have to go to the restroom a few times a day."
Movie Dialogue,LOVE and HATE,Do the Right Thing,"Let me tell you the story of Right Hand, Left Hand. It's a tale of good and evil. Hate: It was with this hand that Cain iced his brother. Love: These five fingers, they go straight to the soul of man. The right hand: The hand of love. The story of life is this: Static."
Movie Dialogue,Stuff,The Devil Wears Prada,"However, that blue [sweater] represents millions of dollars and countless jobs and so it's sort of comical how you think that you've made a choice that exempts you from the fashion industry when, in fact, you're wearing the sweater that was selected for you by the people in this room. From a pile of 'stuff."
Movie Dialogue,Tears in rain,Blade Runner,"I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain."
Movie Dialogue,Brokeback Mountain,Brokeback Mountain,"Well, try this one and I’ll say it just once….Tell you what, we could’ve had a good life together! Fuckin’ real good life! Had us a place of our own. But you didn’t want it, Ennis! So what we got now is Brokeback Mountain! Everything’s built on that! That’s all we got, boy, fuckin’ all. So I hope you know that, even if you don’t never know the rest! You count the damn few times that we have been together in nearly twenty years and you measure the short fuckin’ leash you keep me on – and then you ask me about Mexico and you tell me you’ll kill me for needing somethin’ that I don’t hardly never get. You have no idea how bad it gets! And I’m not you – I can’t make it on a coupla high-altitude fucks once or twice a year! You are too much for me, Ennis, you sonofawhoreson bitch! I wish I knew how to quit you."
Movie Dialogue,Steve Jobs,Steve Jobs,"Here’s what I’m gonna do. I’m gonna announce the names of everyone who designed the launch demo. I’m gonna introduce everyone and ask them to stand up. The bag was designed by Susan Kare, the Macintosh font that’s crawling across the screen was designed by Steve Capps, the starry night and sky writing was Bruce Horn. Down to the calculator. And then I’m gonna say the voice demo that didn’t work, was designed by Andy Herztfeld. 5 in 6 is your first chance of surviving the first round of Russian Roulette, and you’ve reversed those odds. So unless you wanna be disgraced in front of your friends, family, colleagues, stockholders and the press, I wouldn’t stand here arguing. I’d go try get some more bullets out of the gun."
Movie Dialogue,American Beauty,American Beauty,"I had always heard your entire life flashes in front of your eyes the second before you die. First of all, that one second isn’t a second at all. It stretches on forever, like an ocean of time. For me, it was lying on my back at Boy Scout Camp, watching falling stars. And yellow leaves from the maple trees that lined our street. Or my grandmother’s hands, and the way her skin seemed like paper. And the first time I saw my cousin Tony’s brand new Firebird. And Janie, and Janie. And Carolyn. I guess I could be pretty pissed off about what happened to me, but it’s hard to stay mad when there’s so much beauty in the world. Sometimes I feel like I’m seeing it all at once, and it’s too much. My heart fills up like a balloon that’s about to burst. And then I remember to relax, and stop trying to hold on to it, and then it flows through me like rain, and I can’t feel anything but gratitude for every single moment of my stupid little life. You have no idea what I’m talking about, I’m sure. But don’t worry. You will someday."
Movie Dialogue,Bohemian Rhapsody,Bohemian Rhapsody,"Stop it, don’t. Right now, it’s between us, alright, just us. But please, if any of you fuss about it, or frown about it, or worst of all, if you bore me with your sympathy, that’s just seconds wasted, seconds that could be used for making music, because that’s all I want to do with the time I have left. I don’t have time to be their victim, their AIDS poster boy, their cautionary tale. No, I decide who I am. I’m going to be what I was born to be, a performer, to give the people what they want. Go to the heavens, Freddie fucking Mercury."
Movie Dialogue,Before Sunrise,Before Sunrise,"You know, despite all the bullshit that comes along with it – I remember my childhood as this, you know, this magical time. I do. I remember when, uh, my mother first told me about death. My great-grandmother had just died and my whole family had just visited them in Florida. I was about three, three and a half years old. Anyway, I was in the backyard playing, and my sister had just taught me how to take the garden hose, and do it in such a way that, uh, you could spray it into the sun. And you could make a rainbow. And so I was doing that, and through the mist I could see my granmother. And she was just standing there, smiling at me. And, uh, then I held it there, for a long time, and I looked at her. And then finally, I let go of the nozzle, you know, and then I dropped the hose, and she disappeared. And so I went back inside and I tell my parents, you know. And they, uh, sit me down and give me this big rap on how when people die you never see them again, and how I’d imagined it. But I knew what I’d seen. And I was just glad that I saw that. I mean, I’ve never seen anything like that since. But, I don’t know, it just kind of let me know how ambiguous everything was, you know, even death."
Movie Dialogue,Inglorious Bastards,Inglorious Bastards,"Now if one were to determine what attribute the German people share with a beast, it would be the cunning and the predatory instinct of a hawk. But if one were to determine what attributes the Jews share with a beast, it would be that of the rat. If a rat were to walk in here right now as I’m talking, would you treat it with a saucer of your delicious milk? (LaPadite: “Probably not”) I didn’t think so. You don’t like them. You don’t really know why you don’t like them. All you know is you find them repulsive."
Movie Dialogue,Shawshank Redemption,Shawshank Redemption,"Get busy living or get busy dying. That’s goddamn right. For the second time in my life, I’m guilty of committing a crime. Parole violation. Course, I doubt they’re going to throw up any road blocks for that. Not for an old crook like me. I find I’m so excited I can barely sit still or hold a thought in my head. I think it’s the excitement only a free man can feel. A free man at the start of a long journey whose conclusion is uncertain. I hope I can make it across the border. I hope to see my friend and shake his hand. I hope the Pacific is as blue as it has been in my dreams. I hope."
Movie Dialogue,Good Will Hunting,Good Will Hunting,"If I asked you about art you’d probably give me the skinny on every art book ever written. Michelangelo? You know a lot about him. Life’s work, political aspirations, him and the pope, sexual orientation, the whole works, right? But I bet you can’t tell me what it smells like in the Sistine Chapel. You’ve never actually stood there and looked up at that beautiful ceiling. Seen that. If I asked you about women you’d probably give me a syllabus of your personal favourites. You may have even been laid a few times. But you can’t tell me what it feels like to wake up next to a woman and feel truly happy. You’re a tough kid."
Movie Dialogue,The Hangover,The Hangover,"I’d like to, I’d like to say something that I’ve prepared tonight. Hello. How ’bout that ride in? I guess that’s why they call it Sin City. You guys might not know this, but I consider myself a bit of a loner. I tend to think of myself as a one-man wolf pack. But when my sister brought Doug home, I knew he was one of my own. And my wolf pack, it grew by one. So – there were two of us in the wolf pack. I was alone first in the pack, and then Doug joined in later. And six months ago, when Doug introduced me to you guys, I thought, ‘Wait a second, could it be?’ And now I know for sure, I just added two more guys to my wolf pack. Four of us wolves, running around the desert together, in Las Vegas, looking for strippers and cocaine. So tonight, I make a toast! (He pulled out a knife and cut his palm) Blood brothers!"
Movie Dialogue,La La Land,La La Land,"Because I’ve been to a million auditions and the same thing happens every time. Where I get interrupted because someone wants to get a sandwich. Or I’m crying and they start laughing. Or there’s people sitting in the waiting room, and they’re, they’re like me but prettier and better at the…because maybe I’m not good enough. Maybe I’m one of those people that has always wanted to do it, but it’s like a pipe dream for me. You know, and then you, you said it. You change your dreams and then you grow up. Maybe I’m one of those people and I’m not supposed to. And I can go back to school and I can find something else that I’m supposed to do. Cause I left to do that. And it’s been six years and I don’t wanna do it anymore."
Movie Dialogue,Fences,Fences,"I been standing with you! I been right here with you, Troy. I got a life too. I gave eighteen years of my life to stand in the same spot with you. Don’t you think I ever wanted other things? Don’t you think I had dreams and hopes? What about my life? What about me? Don’t you think it ever crossed my mind to want to know other men? That I wanted to lay up somewhere and forget about my responsibilities? That I wanted someone to make me laugh so I could feel good?"
